ID Parola,POS,Gramm,Parola,No punct,Standard,Lemma,Inglese,NR06,NR94,R20,Temp
1011200800,RA,----ASM-,τὸν,τὸν,τόν,ὁ,-,>,>,>,
1011200900,N-,----ASM-,"Σαλαθιήλ,",Σαλαθιήλ,Σαλαθιήλ,Σαλαθιήλ,Salathiel,Sealtiel,Salatiel,Sealtiel,
1011201000,N-,----NSM-,Σαλαθιὴλ,Σαλαθιὴλ,Σαλαθιήλ,Σαλαθιήλ,Salathiel,Sealtiel,Salatiel,Sealtiel,
1011201100,C-,--------,δὲ,δὲ,δέ,δέ,and,-,-,-,
1011201200,V-,3AAI-S--,ἐγέννησεν,ἐγέννησεν,ἐγέννησε(ν),γεννάω,to be the father of,generò,generò,generò,
1011201300,RA,----ASM-,τὸν,τὸν,τόν,ὁ,-,>,>,>,
1011201400,N-,----ASM-,"Ζοροβαβέλ,",Ζοροβαβέλ,Ζοροβαβέλ,Ζοροβαβέλ,-,Zorobabele,Zorobabel,Zorobabele,
1011300100,N-,----NSM-,Ζοροβαβὲλ,Ζοροβαβὲλ,Ζοροβαβέλ,Ζοροβαβέλ,-,Zorobabele,Zorobabel,Zorobabele,
1011300200,C-,--------,δὲ,δὲ,δέ,δέ,and,-,-,-,
1011300300,V-,3AAI-S--,ἐγέννησεν,ἐγέννησεν,ἐγέννησε(ν),γεννάω,to be the father of,generò,generò,generò,
1011300400,RA,----ASM-,τὸν,τὸν,τόν,ὁ,-,>,>,>,
1011300500,N-,----ASM-,"Ἀβιούδ,",Ἀβιούδ,Ἀβιούδ,Ἀβιούδ,Abiud,Abiud,Abiud,Abiud,
1011300600,N-,----NSM-,Ἀβιοὺδ,Ἀβιοὺδ,Ἀβιούδ,Ἀβιούδ,Abiud,Abiud,Abiud,Abiud,
1011300700,C-,--------,δὲ,δὲ,δέ,δέ,and,-,-,-,
1011300800,V-,3AAI-S--,ἐγέννησεν,ἐγέννησεν,ἐγέννησε(ν),γεννάω,to be the father of,generò,generò,generò,
1011300900,RA,----ASM-,τὸν,τὸν,τόν,ὁ,-,>,>,>,
